EID,Authors,Affiliations,Title,Year,country,qs_rank_2024,repec_rank,Author_Position,university
2-s2.0-105020814140,"Torales, S.","Agencia de Evaluacion de Tecnologias Sanitarias de Uruguay (AETSU), Montevideo, Uruguay",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Uruguay,,,2,AETSU
2-s2.0-105020814140,"Rossi, F.","Department of Radiation Oncology, Hospital de Clinicas Dr. Manuel Quintela, Montevideo, Uruguay",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Uruguay,,,3,"University of the Republic (UDELAR) [This university is associated with the Hospital de Clinicas Dr. Manuel Quintela in Montevideo, Uruguay. I am assuming that the Department of Radiation Oncology mentioned is part of this university.]"
2-s2.0-105020814140,"Ricagni, L.","Department of Cancer Control, Instituto Nacional de Enfermedades Neoplasicas, Lima, Lima, Peru",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Peru,,,4,Instituto Nacional de Enfermedades Neoplasicas
2-s2.0-105020814140,"Baldeon, D.","Department of Radiotherapy, Hospital Angeles de las Lomas, Lomas de Santa Fe, DF, Mexico",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Mexico,,,5,Angeles de las Lomas
2-s2.0-105020814140,"Felix, A.","Rayos Contra Cancer, Seattle, WA, United States",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,United States,,,6,University of Washington (assuming Rayos Contra Cancer is a research group or organization affiliated with the University of Washington)
2-s2.0-105020814140,"Li, B.","Division of Radiation Oncology, University of Washington, Seattle, WA, United States",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,United States,63,,7,University of Washington
2-s2.0-105020814140,"Gkika, E.","Radiotherapy Unit, Centro de Radioterapia Deán Funes, Cordoba, Argentina",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Argentina,,,8,Deán Funes
2-s2.0-105020814140,"Ferraris, G.","Department of Radiation Oncology, Oncosalud, AUNA, Lima, Lima, Peru",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Peru,,,9,AUNA
2-s2.0-105020814140,"Sarria, G.J.","Department of Radiotherapy, Instituto Nacional de Enfermedades Neoplasicas, Lima, Lima, Peru",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Peru,,,10,Instituto Nacional de Enfermedades Neoplasicas
2-s2.0-105020669173,"Kumar, V.","Department of Pure and Applied Mathematics, Alliance University, Bengaluru, KA, India",Data-Driven Insights for Enhancing Financial Well-Being Among College Students,2026,India,427,,1,Alliance University
2-s2.0-105020669173,"Kumar, S.","Department of Mathematics, Bennett University, Greater Noida, UP, India",Data-Driven Insights for Enhancing Financial Well-Being Among College Students,2026,India,427,,2,Bennett University
2-s2.0-105020669173,"Malik, S.","Department of Economics, Tata Institute of Social Sciences, Mumbai, MH, India",Data-Driven Insights for Enhancing Financial Well-Being Among College Students,2026,India,,,3,Tata Institute of Social Sciences
2-s2.0-105020665097,"Doli, D.","Department of Computer Science and Technology, Rochester Institute of Technology Kosovo, Pristina, Serbia",Smart Finances: A Web-Based System for Personalized Financial Management,2026,Serbia,,,1,Rochester Institute of Technology Kosovo
2-s2.0-105020665097,"Canhasi, D.","Christ University, Bengaluru, KA, India",Smart Finances: A Web-Based System for Personalized Financial Management,2026,India,427,,2,Christ University
2-s2.0-105020663512,"Guo, L.","University of Glasgow, Glasgow, Scotland, United Kingdom",Evaluating Knowledge Graph Sources for Non-personalized Financial Asset Recommendation: 10K Reports vs. Wikidata,2026,United Kingdom,=76,169,1,University of Glasgow
2-s2.0-105020574086,"Longo, L.","State University of the Middle-West Region of Paraná (UNICENTRO), Guarapuava, Brazil",Gamified Mobile App for Financial Education: An Innovative Experience in a Brazilian Public University,2026,Brazil,,,1,UNICENTRO
2-s2.0-105020443811,"Förster, M.","Department of Economics and Business, Technische Universität München, Munich, Bayern, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,=246,,1,Technische Universität München
2-s2.0-105020443811,"Hommel, M.","Vocational Education, OTH Amberg-Weiden, Amberg and Weiden, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,,,2,OTH Amberg-Weiden
2-s2.0-105020443811,"Aprea, C.","Universität Mannheim, Mannheim, Baden-Wurttemberg, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,=454,,3,Universität Mannheim
2-s2.0-105020443811,"Fürstenau, B.","Business Education and Management Training, Technische Universität Dresden, Dresden, Sachsen, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,=246,,4,Technische Universität Dresden
2-s2.0-105020443811,"Happ, R.","Institute of Business Education and Management Training, Universität Leipzig, Leipzig, Sachsen, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,479,,5,Universität Leipzig
2-s2.0-105020443811,"Wuttke, E.","Economics and Business Education, Goethe-Universität Frankfurt am Main, Frankfurt am Main, Hessen, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,=461,,6,Goethe-Universität
2-s2.0-105020271867,"Anwar, M.","Department of Statistics and Business Analytics, College of Business and Economics, Al Ain, Abu Dhabi, United Arab Emirates",Navigating uncertainty: The role of CEO competencies in strategic decision-making for digitalisation in family firms,2026,United Arab Emirates,290,,1,University of Abu Dhabi (UAE)
2-s2.0-105020271867,"Hani, I.B.","Department of Measurement and Control, Universität Kassel, Kassel, Hessen, Germany",Navigating uncertainty: The role of CEO competencies in strategic decision-making for digitalisation in family firms,2026,Germany,=461,,2,Universität Kassel
2-s2.0-105020271867,"Hujran, O.","United Arab Emirates University, Al Ain, Abu Dhabi, United Arab Emirates",Navigating uncertainty: The role of CEO competencies in strategic decision-making for digitalisation in family firms,2026,United Arab Emirates,290,,3,United Arab Emirates University
2-s2.0-105020260922,"Benlemlih, B.","Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco",Regulatory Initiatives on Cryptocurrencies: Adapting the EU's MiCA Framework to the MENA Region's Banking Institutions,2026,Morocco,,,1,Université Sidi Mohamed Ben Abdellah
2-s2.0-105020205200,"Halder, S.","Research Scholar, Dr. Vishwanath Karad MIT World Peace University, Pune, MH, India",ICT-Driven Financial Literacy Programs: Empowering Citizens for Better Financial Governance,2026,India,427,,1,MIT World Peace University
2-s2.0-105020205200,"Deshmukh, R.","Associate Professor, Dr. Vishwanath Karad MIT World Peace University, Pune, MH, India",ICT-Driven Financial Literacy Programs: Empowering Citizens for Better Financial Governance,2026,India,427,,2,MIT World Peace University
2-s2.0-105020165198,"Issa, M.","Department of Financial Technology, University of Petra, Amman, Amman, Jordan",Bridging the Gap: FinTech and AI in Education,2026,Jordan,=498,,1,University of Petra
2-s2.0-105020165198,"Omar, F.","Business Intelligence Department, Al-Zaytoonah University of Jordan, Amman, Amman, Jordan",Bridging the Gap: FinTech and AI in Education,2026,Jordan,=498,,2,Al-Zaytoonah University of Jordan
2-s2.0-105020014062,"Gupta, J.","Department of Computer Science and Engineering, Sharda University, Greater Noida, UP, India",Large Language Models Acing Chartered Accountancy,2026,India,427,,1,Sharda University
2-s2.0-105019643827,"Guillén-Pujadas, M.","Department of Business, Universitat de Barcelona, Barcelona, Barcelona, Spain",Corporate Financial Statement Analysis in Education 4.0,2026,Spain,=164,,1,Universitat de Barcelona
2-s2.0-105019643827,"Alaminos, D.","Department of Marketing, Universidad Complutense de Madrid, Madrid, Madrid, Spain",Corporate Financial Statement Analysis in Education 4.0,2026,Spain,1001-1200,,2,Universidad Complutense de Madrid
2-s2.0-105019643827,"Carrasco-Aguilar, Á.","Department of Business Economics, Universidad Rey Juan Carlos, Madrid, Madrid, Spain",Corporate Financial Statement Analysis in Education 4.0,2026,Spain,951-1000,,3,Universidad Rey Juan Carlos
2-s2.0-105018236183,"Dinh, D.H.","Vietnamese-German University, Thu Dau Mot, Binh Duong, Viet Nam",Predictive Models for Understanding Financial Well-Being of Vietnamese People Using Machine Learning,2026,Viet Nam,,,1,Vietnamese-German University
2-s2.0-105018236183,"Styazhkov, A.","University of Penza, Penza, Russian Federation",Predictive Models for Understanding Financial Well-Being of Vietnamese People Using Machine Learning,2026,Russian Federation,,,2,University of Penza
2-s2.0-105018236183,"Ametsbichler, T.","Administrative Headquarters of the Max Planck Society, Munich, Bayern, Germany",Predictive Models for Understanding Financial Well-Being of Vietnamese People Using Machine Learning,2026,Germany,,,3,Max Planck Society
2-s2.0-105018219637,"Hommel, M.","Vocational Education, OTH Amberg-Weiden, Amberg and Weiden, Germany",Untangling the Terminology in the Context of Financial Literacy: Systematising Definitions and Constructs,2026,Germany,,,1,OTH Amberg-Weiden
2-s2.0-105018219637,"Wuttke, E.","Economics and Business Education, Goethe-Universität Frankfurt am Main, Frankfurt am Main, Hessen, Germany",Untangling the Terminology in the Context of Financial Literacy: Systematising Definitions and Constructs,2026,Germany,=461,,2,Goethe-Universität
2-s2.0-105018219637,"Happ, R.","Institute of Business Education and Management Training, Universität Leipzig, Leipzig, Sachsen, Germany",Untangling the Terminology in the Context of Financial Literacy: Systematising Definitions and Constructs,2026,Germany,479,,3,Universität Leipzig
2-s2.0-105018219637,"Heidel, S.","Faculty of Business and Economics, Technische Universität Dresden, Dresden, Sachsen, Germany",Untangling the Terminology in the Context of Financial Literacy: Systematising Definitions and Constructs,2026,Germany,=246,,4,Technische Universität Dresden
2-s2.0-105018212950,"Aprea, C.","Universität Mannheim, Mannheim, Baden-Wurttemberg, Germany",Financial Literacy Frameworks: A Scoping Review and Critical Appraisal,2026,Germany,=454,,1,Universität Mannheim
2-s2.0-105018212950,"Vonhof, C.","Department for Research on Educational Sciences, Universität Zürich, Zurich, ZH, Switzerland",Financial Literacy Frameworks: A Scoping Review and Critical Appraisal,2026,Switzerland,,,2,Universität Zürich
2-s2.0-105018212950,"Ackermann, N.","Business Education and Management Training, Technische Universität Dresden, Dresden, Sachsen, Germany",Financial Literacy Frameworks: A Scoping Review and Critical Appraisal,2026,Germany,=246,,3,Technische Universität Dresden
2-s2.0-105018212950,"Fürstenau, B.","Fachhochschule Wiesbaden, Wiesbaden, Hessen, Germany",Financial Literacy Frameworks: A Scoping Review and Critical Appraisal,2026,Germany,,,4,Fachhochschule Wiesbaden
2-s2.0-105018200365,"Pria, S.","University of Technology and Applied Sciences Shinas, Shinas, Al Batinah, Oman",Empowering Lifelong Learning: The Strategic Role of Accounting Education in Sustainable Development,2026,Oman,,,1,University of Technology and Applied Sciences Shinas
2-s2.0-105018193070,"Förster, M.","Department of Economics and Business, Technische Universität München, Munich, Bayern, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,=246,,1,Technische Universität München
2-s2.0-105018193070,"Hommel, M.","Vocational Education, OTH Amberg-Weiden, Amberg and Weiden, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,,,2,OTH Amberg-Weiden
2-s2.0-105018193070,"Aprea, C.","Universität Mannheim, Mannheim, Baden-Wurttemberg, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,=454,,3,Universität Mannheim
2-s2.0-105018193070,"Fürstenau, B.","Business Education and Management Training, Technische Universität Dresden, Dresden, Sachsen, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,=246,,4,Technische Universität Dresden
2-s2.0-105018193070,"Happ, R.","Institute of Business Education and Management Training, Universität Leipzig, Leipzig, Sachsen, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,479,,5,Universität Leipzig
2-s2.0-105018193070,"Wuttke, E.","Economics and Business Education, Goethe-Universität Frankfurt am Main, Frankfurt am Main, Hessen, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,=461,,6,Goethe-Universität
2-s2.0-105018186594,"Walstad, W.B.","University of Nebraska–Lincoln, Lincoln, NE, United States",Complexity in the Measurement of Financial Competence,2026,United States,=441,,1,University of Nebraska-Lincoln
2-s2.0-105018186594,"Kraitzek, A.","Department of Economics and Business, Technische Universität München, Munich, Bayern, Germany",Complexity in the Measurement of Financial Competence,2026,Germany,=246,,2,Technische Universität München
2-s2.0-105018186594,"Di Chiacchio, C.","International Studies, Istituto Nazionale per la Valutazione del Sistema Educativo di Istruzione e di Formazione, Rome, Italy",Complexity in the Measurement of Financial Competence,2026,Italy,,,3,"Istituto Nazionale per la Valutazione del Sistema Educativo di Istruzione e di Formazione (university not explicitly stated, thus NA would be appropriate)"
2-s2.0-105017368762,"Liao, H.","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China",DeepSeek Large Model Empowers Digital Transformation: An Empirical Study on Financial Quantification,2026,China,,,1,University of Chinese Academy of Sciences
2-s2.0-105015557447,"Candrawati, T.","State Polytechnic of Malang, Malang, Indonesia","The influence of perceived usefulness, perceived ease of use, compatibility and subjective norm on the use of e-money; La influencia de la utilidad percibida, la facilidad de uso percibida, la compatibilidad y la norma subjetiva en el uso del dinero electrónico",2026,Indonesia,1401+,,1,State Polytechnic of Malang
2-s2.0-105015439451,"Fürstenau, B.","Technische Universität Dresden, Dresden, Sachsen, Germany",Virtual Reality Meets Finance: How to Enhance Our Understanding of Risk Diversification,2026,Germany,=246,,1,Technische Universität Dresden
2-s2.0-105015349416,"Appiah-Kubi, J.","California State University, San Bernardino, San Bernardino, CA, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,1001-1200,,1,California State University
2-s2.0-105015349416,"Amoako, E.O.","The University of North Carolina at Chapel Hill, Chapel Hill, NC, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,=132,,2,The University of North Carolina
2-s2.0-105015349416,"Achulo, S.H.","The University of Texas at Arlington, Arlington, TX, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,1001-1200,,3,The University of Texas at Arlington
2-s2.0-105015349416,"Small, E.","The University of Texas at San Antonio, San Antonio, TX, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,1001-1200,,4,The University of Texas at San Antonio
2-s2.0-105015349416,"Sharma, B.","Regent College London, London, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,,,5,Regent College London
2-s2.0-105015349416,"Ansong, E.","University of Illinois Urbana-Champaign, Urbana, IL, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,64,,6,University of Illinois Urbana-Champaign
2-s2.0-105015349416,"Wabwire, J.C.","Utafiti Kamili Research Centre Uganda, Kampala, Uganda",The complex role of financial hardship in understanding depression among youth in Uganda,2026,Uganda,,,7,Utafiti Kamili
2-s2.0-105014452182,"Balakina, O.","Leibniz-Institut für Finanzmarktforschung SAFE, Frankfurt am Main, Hessen, Germany",Unshrouding product-specific attributes through financial education,2026,Germany,,,1,SAFE (Leibniz University)
2-s2.0-105014452182,"Balasubramaniam, V.","Queen Mary University of London, London, United Kingdom",Unshrouding product-specific attributes through financial education,2026,United Kingdom,=145,184,2,Queen Mary University of London
2-s2.0-105014452182,"Dimri, A.","TrustBridge Rule of Law Foundation, New Delhi, India",Unshrouding product-specific attributes through financial education,2026,India,,,3,TrustBridge (NA if no university is found)
2-s2.0-105012730894,"Wang, L.","School of Economics, Fuyang Normal University, Fuyang, Anhui, China",How Financial Factors Shape Household Happiness in China's Aging Population,2026,China,,,1,Fuyang Normal University
2-s2.0-105012730894,"Manansala, L.D.","College of Professional and Graduate Studies, De La Salle University-Dasmariñas, Dasmarinas, Cavite, Philippines",How Financial Factors Shape Household Happiness in China's Aging Population,2026,Philippines,681-690,,2,De La Salle University-Dasmariñas
2-s2.0-105011943544,"Chirimumimba, K.","Nelson Mandela University, Gqeberha, Eastern Cape, South Africa",Bridging the Financial Literacy Gap: Machine Learning-Powered Visualisations for Non-financial Users,2026,South Africa,851-900,,1,Nelson Mandela University
2-s2.0-105011656135,"Nosakhare, M.E.","School of Business Management, Universiti Utara Malaysia, Sintok, Kedah, Malaysia",Migrant entrepreneurs and financial access in Sweden: A critical review of financial inclusion and institutional barriers,2026,Malaysia,=538,,1,Universiti Utara Malaysia
2-s2.0-105011341741,"Nguyen, H.D.","VNUHCM - University of Information Technology, Ho Chi Minh City, Viet Nam",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,Viet Nam,,,1,VNUHCM - University of Information Technology
2-s2.0-105011341741,"Vu, S.","Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,Viet Nam,,,2,Viet Nam National University Ho Chi Minh City
2-s2.0-105011341741,"Pham, U.","Department of Computer Science, Las Cruces, NM, United States",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,United States,,,3,New Mexico State University
2-s2.0-105011341741,"Nguyen, D.","University of Economics and Law, Ho Chi Minh City, Viet Nam",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,Viet Nam,,Top 7%,4,University of Economics and Law
2-s2.0-85212209239,"Savithri, M.","Department of Commerce, Bharathiyar Arts & Science College for Women, Attur, TN, India",Analysis of Investment Factors and Decisions among Generation Z and Generation X in Indian Capital Market,2025,India,,,1,Bharathiyar Arts & Science College for Women
2-s2.0-85212209239,"Rajakumari, D.","Bharathiyar Arts & Science College for Women, Attur, TN, India",Analysis of Investment Factors and Decisions among Generation Z and Generation X in Indian Capital Market,2025,India,,,2,Bharathiyar Arts & Science College for Women
2-s2.0-85212195641,"Shaikh, A.","Department of Management, Jamia Hamdard, New Delhi, India",An Assessment of Risk-Taking Behavior of Individual Investors: Role of Financial Literacy and Emotions,2025,India,1201-1400,,1,Jamia Hamdard
2-s2.0-86000778869,"Achanta, R.P.","Department of Management, Sikkim University, Gangtok, SK, India","Digital financial knowledge, insights from private-sector employees in Sikkim",2025,India,427,,1,Sikkim University
2-s2.0-86000328473,"Cordero, J.M.","Universidad de Extremadura, Badajoz, Badajoz, Spain",Exploring the relationship between students´ experiences with online payment methods and financial competencies using a Bayesian nonparametric approach,2025,Spain,1001-1200,,1,Universidad de Extremadura
2-s2.0-86000328473,"Mateos-Romero, L.","Universidad de Extremadura, Badajoz, Badajoz, Spain",Exploring the relationship between students´ experiences with online payment methods and financial competencies using a Bayesian nonparametric approach,2025,Spain,1001-1200,,2,Universidad de Extremadura
2-s2.0-86000063718,"Saha, S.","Department of Agribusiness and Marketing, Bangladesh Agricultural University, Mymensingh, Bangladesh",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,Bangladesh,1401+,,1,Bangladesh Agricultural University
2-s2.0-86000063718,"Alam, M.J.","Department of Economics, Mawlana Bhashani Science and Technology University, Tangail, Bangladesh",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,Bangladesh,1401+,,2,Mawlana Bhashani Science and Technology University
2-s2.0-86000063718,"Al Abbasi, A.A.","Department of Agricultural Economics, Bangladesh Agricultural University, Mymensingh, Bangladesh",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,Bangladesh,1401+,,3,Bangladesh Agricultural University
2-s2.0-86000063718,"Begum, I.A.","Centre for Agricultural Economics and Development, The University of Western Australia, Perth, WA, Australia",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,Australia,72,,4,The University of Western Australia
2-s2.0-86000063718,"Rola-Rubzen, M.F.","Nutrition for Impact, Singapore City, Singapore",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,Singapore,,,5,"Nutrition for Impact does not seem to contain a university name. Therefore, the answer is NA."
2-s2.0-86000063718,"Parikh, P.","Dept. of Agric. Econ./Agribusiness, University of Arkansas, Fayetteville, AR, United States",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,United States,1001-1200,,6,University of Arkansas
