EID,Authors,Affiliations,Title,Year,country,affil_norm,country_norm,qs_rank_2024
2-s2.0-105020814140,"Sarria, G.J.","Department of Radiotherapy, Instituto Nacional de Enfermedades Neoplasicas, Lima, Lima, Peru",Radiotherapy access in Latin America: Socio-economic determinants and equity challenges socio-economic determinants in Latin America for radiotherapy,2026,Peru,instituto nacional de enfermedades neoplasicas lima lima peru,peru,
2-s2.0-105020669173,"Malik, S.","Department of Economics, Tata Institute of Social Sciences, Mumbai, MH, India",Data-Driven Insights for Enhancing Financial Well-Being Among College Students,2026,India,tata mumbai mh india,india,
2-s2.0-105020665097,"Doli, D.","Department of Computer Science and Technology, Rochester Institute of Technology Kosovo, Pristina, Serbia",Smart Finances: A Web-Based System for Personalized Financial Management,2026,Serbia,rochester pristina serbia,serbia,
2-s2.0-105020574086,"Longo, L.","State University of the Middle-West Region of Paraná (UNICENTRO), Guarapuava, Brazil",Gamified Mobile App for Financial Education: An Innovative Experience in a Brazilian Public University,2026,Brazil,state university of the middle west region of paraná (unicentro) guarapuava brazil,brazil,
2-s2.0-105020443811,"Hommel, M.","Vocational Education, OTH Amberg-Weiden, Amberg and Weiden, Germany",Concluding Remarks on the Work of the Financial Literacy Network AFin,2026,Germany,vocational education oth amberg weiden amberg and weiden germany,germany,
2-s2.0-105020260922,"Benlemlih, B.","Université Sidi Mohamed Ben Abdellah, Fez, Fes-Meknes, Morocco",Regulatory Initiatives on Cryptocurrencies: Adapting the EU's MiCA Framework to the MENA Region's Banking Institutions,2026,Morocco,university sidi mohamed ben abdellah fez fes meknes morocco,morocco,
2-s2.0-105018236183,"Dinh, D.H.","Vietnamese-German University, Thu Dau Mot, Binh Duong, Viet Nam",Predictive Models for Understanding Financial Well-Being of Vietnamese People Using Machine Learning,2026,Viet Nam,vietnamese german university thu dau mot binh duong viet nam,viet nam,
2-s2.0-105018236183,"Styazhkov, A.","University of Penza, Penza, Russian Federation",Predictive Models for Understanding Financial Well-Being of Vietnamese People Using Machine Learning,2026,Russian Federation,university of penza penza russian federation,russian federation,
2-s2.0-105018236183,"Ametsbichler, T.","Administrative Headquarters of the Max Planck Society, Munich, Bayern, Germany",Predictive Models for Understanding Financial Well-Being of Vietnamese People Using Machine Learning,2026,Germany,administrative headquarters of the max planck society munich bayern germany,germany,
2-s2.0-105018219637,"Hommel, M.","Vocational Education, OTH Amberg-Weiden, Amberg and Weiden, Germany",Untangling the Terminology in the Context of Financial Literacy: Systematising Definitions and Constructs,2026,Germany,vocational education oth amberg weiden amberg and weiden germany,germany,
2-s2.0-105018212950,"Vonhof, C.","Department for Research on Educational Sciences, Universität Zürich, Zurich, ZH, Switzerland",Financial Literacy Frameworks: A Scoping Review and Critical Appraisal,2026,Switzerland,universität zürich zurich zh switzerland,switzerland,
2-s2.0-105018212950,"Fürstenau, B.","Fachhochschule Wiesbaden, Wiesbaden, Hessen, Germany",Financial Literacy Frameworks: A Scoping Review and Critical Appraisal,2026,Germany,fachhochschule wiesbaden wiesbaden hessen germany,germany,
2-s2.0-105018200365,"Pria, S.","University of Technology and Applied Sciences Shinas, Shinas, Al Batinah, Oman",Empowering Lifelong Learning: The Strategic Role of Accounting Education in Sustainable Development,2026,Oman,university of technology and applied sciences shinas shinas al batinah oman,oman,
2-s2.0-105018193070,"Hommel, M.","Vocational Education, OTH Amberg-Weiden, Amberg and Weiden, Germany","The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief",2026,Germany,vocational education oth amberg weiden amberg and weiden germany,germany,
2-s2.0-105018186594,"Di Chiacchio, C.","International Studies, Istituto Nazionale per la Valutazione del Sistema Educativo di Istruzione e di Formazione, Rome, Italy",Complexity in the Measurement of Financial Competence,2026,Italy,international studies istituto nazionale per la valutazione del sistema educativo di istruzione e di formazione rome italy,italy,
2-s2.0-105017368762,"Liao, H.","School of Artificial Intelligence, University of Chinese Academy of Sciences, Beijing, China",DeepSeek Large Model Empowers Digital Transformation: An Empirical Study on Financial Quantification,2026,China,university of chinese academy of sciences beijing china,china,
2-s2.0-105015349416,"Sharma, B.","Regent College London, London, United States",The complex role of financial hardship in understanding depression among youth in Uganda,2026,United States,regent college london london united states,united states,
2-s2.0-105015349416,"Wabwire, J.C.","Utafiti Kamili Research Centre Uganda, Kampala, Uganda",The complex role of financial hardship in understanding depression among youth in Uganda,2026,Uganda,utafiti kamili research kampala uganda,uganda,
2-s2.0-105014452182,"Balakina, O.","Leibniz-Institut für Finanzmarktforschung SAFE, Frankfurt am Main, Hessen, Germany",Unshrouding product-specific attributes through financial education,2026,Germany,leibniz institut für finanzmarktforschung safe frankfurt am main hessen germany,germany,
2-s2.0-105014452182,"Dimri, A.","TrustBridge Rule of Law Foundation, New Delhi, India",Unshrouding product-specific attributes through financial education,2026,India,trustbridge rule of law foundation new delhi india,india,
2-s2.0-105012730894,"Wang, L.","School of Economics, Fuyang Normal University, Fuyang, Anhui, China",How Financial Factors Shape Household Happiness in China's Aging Population,2026,China,fuyang normal university fuyang anhui china,china,
2-s2.0-105011341741,"Nguyen, H.D.","VNUHCM - University of Information Technology, Ho Chi Minh City, Viet Nam",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,Viet Nam,vnuhcm  university of information technology ho chi minh city viet nam,viet nam,
2-s2.0-105011341741,"Vu, S.","Viet Nam National University Ho Chi Minh City, Ho Chi Minh City, Viet Nam",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,Viet Nam,viet nam national university ho chi minh city ho chi minh city viet nam,viet nam,
2-s2.0-105011341741,"Pham, U.","Department of Computer Science, Las Cruces, NM, United States",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,United States,las cruces nm united states,united states,
2-s2.0-105011341741,"Nguyen, D.","University of Economics and Law, Ho Chi Minh City, Viet Nam",A Hybrid Knowledge-Based and Machine Learning Approach for Financial Health Prediction in Small and Medium-Sized Enterprises,2026,Viet Nam,university of economics and law ho chi minh city viet nam,viet nam,
2-s2.0-85212209239,"Savithri, M.","Department of Commerce, Bharathiyar Arts & Science College for Women, Attur, TN, India",Analysis of Investment Factors and Decisions among Generation Z and Generation X in Indian Capital Market,2025,India,bharathiyar arts and science college for women attur tn india,india,
2-s2.0-85212209239,"Rajakumari, D.","Bharathiyar Arts & Science College for Women, Attur, TN, India",Analysis of Investment Factors and Decisions among Generation Z and Generation X in Indian Capital Market,2025,India,bharathiyar arts and science college for women attur tn india,india,
2-s2.0-86000063718,"Rola-Rubzen, M.F.","Nutrition for Impact, Singapore City, Singapore",Can credit promote rural transformation? Evidence from district-level data in Bangladesh,2025,Singapore,nutrition for impact singapore city singapore,singapore,
2-s2.0-85219669413,"Becha, H.","FSEG Sfax - Faculté des Sciences Économiques et de Gestion de Sfax, Sfax, Sfax, Tunisia","Digital financial inclusion, environmental sustainability and regional economic growth in China: insights from a panel threshold model",2025,Tunisia,fseg sfax  faculté des sciences économiques et de gestion de sfax sfax sfax tunisia,tunisia,
2-s2.0-85219669413,"Kalai, M.","Research Laboratory in Competitiveness, Commercial Decisions and Internationalisation (CODECI), Sfax, Tunisia","Digital financial inclusion, environmental sustainability and regional economic growth in China: insights from a panel threshold model",2025,Tunisia,research commercial decisions and internationalisation (codeci) sfax tunisia,tunisia,
2-s2.0-85218881746,"Song, X.","School of Business, Beijing Language and Culture University, Beijing, China","Financial inclusion, technologies, and worldwide economic development: A spatial Durbin model approach",2025,China,beijing language and culture university beijing china,china,
2-s2.0-85218881746,"Qin, X.","Sustainable Real Estate Research Center, Hong Kong Shue Yan University, Hong Kong, China","Financial inclusion, technologies, and worldwide economic development: A spatial Durbin model approach",2025,China,sustainable real estate research hong kong shue yan university hong kong china,china,
2-s2.0-105022271749,"Martinez-Blasco, M.","IQS School of Management, Barcelona, Barcelona, Spain",Mapping innovation tools and financial inclusion: a bibliometric analysis,2025,Spain,iqs barcelona barcelona spain,spain,
2-s2.0-105022202201,"Williams, T.O.","Department of Banking and Finance, Olabisi Onabanjo University, Ago-Iwoye, Ogun, Nigeria","Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?",2025,Nigeria,o ago iwoye ogun nigeria,nigeria,
2-s2.0-105022202201,"Maialeh, R.","Research Institute for Labour and Social Affairs, Prague, Czech Republic","Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?",2025,Czech Republic,research prague czech republic,czech republic,
2-s2.0-105022202201,"Adegbenro, M.A.","Department of Economics, Olabisi Onabanjo University, Ago-Iwoye, Ogun, Nigeria","Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?",2025,Nigeria,o ago iwoye ogun nigeria,nigeria,
2-s2.0-105022183483,"D'Ignazio, A.","Directorate General for Consumer Protection and Financial Education, Banca d'Italia, Rome, Italy",Financial literacy calls the roll — The effectiveness of a financial education program in Italian schools,2025,Italy,directorate general for consumer protection and financial education banca d'italia rome italy,italy,
2-s2.0-105022183483,"Iannotta, G.","DG for Economics and Statistics, Banca d'Italia, Rome, Italy",Financial literacy calls the roll — The effectiveness of a financial education program in Italian schools,2025,Italy,dg for economics and statistics banca d'italia rome italy,italy,
2-s2.0-105021853671,"Potts, N.","Morningstar, Sydney, NSW, Australia","Domain-Specific Predictors of Financial Risk Taking: Revisiting the Role of Knowledge, Experience, and Financial Risk Tolerance",2025,Australia,morningstar sydney nsw australia,australia,
2-s2.0-105021853671,"Murphy, R.O.","Morningstar, Inc., Chicago, IL, United States","Domain-Specific Predictors of Financial Risk Taking: Revisiting the Role of Knowledge, Experience, and Financial Risk Tolerance",2025,United States,morningstar inc chicago il united states,united states,
2-s2.0-105021802749,"Fu, J.","School of Economics and Management, Jiangxi Normal University, Nanchang, Jiangxi, China","Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries",2025,China,jiangxi normal university nanchang jiangxi china,china,
2-s2.0-105021802749,"Khalid, M.W.","Leibniz-Zentrum für Agrarlandschaftsforschung (ZALF) e. V., Muncheberg, Brandenburg, Germany","Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries",2025,Germany,leibniz zentrum für agrarlandschaftsforschung (zalf) e v muncheberg brandenburg germany,germany,
2-s2.0-105021460616,"Khiatani, P.V.","Department of Applied Social Sciences, The Hong Kong Polytechnic University, Hong Kong, Hong Kong, Hong Kong",Do people with problem and non-problem gambling differ on financial literacy? A mixed methods study in Hong Kong,2025,Hong Kong,the hong kong polytechnic university hong kong hong kong hong kong,hong kong,
2-s2.0-105021098761,"Wang, X.","Center for Economic Research, Shandong University, Jinan, Shandong, China",Kinship networks and risky financial asset investment: The power of Confucian clan,2025,China,shandong university jinan shandong china,china,
2-s2.0-105021098761,"Wang, C.","School of Business Administration, Shandong University of Finance and Economics, Jinan, Shandong, China",Kinship networks and risky financial asset investment: The power of Confucian clan,2025,China,shandong university of finance and economics jinan shandong china,china,
2-s2.0-105020955344,"Urooj, S.","Huazhong University of Science and Technology, Wuhan, Hubei, China",Exploring the impact of digital financial capability and financial compliance on sustainable entrepreneurship across nations,2025,China,huazhong university of science and technology wuhan hubei china,china,
2-s2.0-105020955344,"Ullah, A.","Huazhong University of Science and Technology, Wuhan, Hubei, China",Exploring the impact of digital financial capability and financial compliance on sustainable entrepreneurship across nations,2025,China,huazhong university of science and technology wuhan hubei china,china,
2-s2.0-105020871393,"Isaga, N.","Department of Accounting and Finance, Mzumbe University, Dar Es Salaam, Tanzania",The roles of finance opinion and income source in the link between financial literacy and student financial behaviour in Tanzania,2025,Tanzania,mzumbe university dar es salaam tanzania,tanzania,
2-s2.0-105020650564,"Bauer, B.W.","Franklin College of Arts and Sciences, Athens, GA, United States","Thinking about finances, financial anxiety, and student loan repayment behaviors",2025,United States,franklin college of arts and sciences athens ga united states,united states,
2-s2.0-105019334865,"de Beckker, K.","Department of Accounting and Finance, Open Universiteit, Heerlen, Limburg, Netherlands",The long-term impact of financial literacy on wealth: Evidence from longitudinal data,2025,Netherlands,open universiteit heerlen limburg netherlands,netherlands,
2-s2.0-105019334865,"Hubers, F.","Network for Studies on Pensions, Aging and Retirement, Tilburg, Noord-Brabant, Netherlands",The long-term impact of financial literacy on wealth: Evidence from longitudinal data,2025,Netherlands,network for studies on pensions aging and retirement tilburg noord brabant netherlands,netherlands,
2-s2.0-105019334865,"Derkx, S.",G53 Financial Literacy and Personal Finance Research Network (G53 Network),The long-term impact of financial literacy on wealth: Evidence from longitudinal data,2025,G53 Financial Literacy and Personal Finance Research Network (G53 Network),g53 financial literacy and personal finance research network (g53 network),g53 financial literacy and personal finance research network (g53 network),
2-s2.0-105019100795,"Bharne, S.","Department of Humanities and Social Sciences, Maulana Azad National Institute of Technology, Bhopal, MP, India",Impact of crop insurance on improving food security and agricultural investments: insights from India,2025,India,maulana azad national bhopal mp india,india,
2-s2.0-105019068509,"Mohanty, S.","School of Economics and Commerce, Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",Financial well-being in the IT sector: investigating the role of financial behaviour and planning,2025,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-105018960899,"Vid, A.","National Bank of Romania, Bucharest, Romania",The critical role of financial literacy in enhancing firm success,2025,Romania,national bank of romania bucharest romania,romania,
2-s2.0-105018942729,"Nkouaga, F.","National Association of Insurance Commissioners, Kansas City, MO, United States",Socio-economic and insurance factors in preventive care: A two-stage weighted structural analysis,2025,United States,national association of insurance commissioners kansas city mo united states,united states,
2-s2.0-105018691893,"Mehta, R.C.","College of Computing, Atlanta, GA, United States",Factors and patterns in mobile banking and payment services use in the United States,2025,United States,college of computing atlanta ga united states,united states,
2-s2.0-105018691893,"Kaittila, A.","Department of Social Research, Turun yliopisto, Turku, Southwest Finland, Finland",Factors and patterns in mobile banking and payment services use in the United States,2025,Finland,turun yliopisto turku southwest finland finland,finland,
2-s2.0-105018691893,"Viitasalo, K.","Department of Social Work, Helsingin Yliopisto, Helsinki, Uusimaa, Finland",Factors and patterns in mobile banking and payment services use in the United States,2025,Finland,helsingin yliopisto helsinki uusimaa finland,finland,
2-s2.0-105018631598,"Luu, T.","Carl H. Lindner College of Business, Cincinnati, OH, United States",Measuring Crypto Literacy,2025,United States,carl h lindner college of business cincinnati oh united states,united states,
2-s2.0-105018454455,"L’Esperance, M.","Department of Consumer Sciences, Tuscaloosa, AL, United States",Youth Employment and Financial Access: Does Work in High School Improve Downstream Financial Capability?,2025,United States,tuscaloosa al united states,united states,
2-s2.0-105018267143,"Niyibizi, P.","Department of Human Nutrition and Dietetics, University of Rwanda, Butare, Rwanda","Exploring the link between women’s financial inclusion and child nutrition in Rulindo district, Rwanda",2025,Rwanda,university of rwanda butare rwanda,rwanda,
2-s2.0-105018236276,"Manzoni, E.","CSEF, Naples, Italy",Women's empowerment through financial literacy in a developed country,2025,Italy,csef naples italy,italy,
2-s2.0-105018128460,"Fallah-Aliabadi, S.","Department of Health in Emergencies and Disasters, Shahid Sadoughi University of Medical Sciences, Yazd, Yazd, Iran",Explaining barriers and challenges to child safety during driving from parents’ perspectives: a qualitative content analysis,2025,Iran,shahid sadoughi university of medical sciences yazd yazd iran,iran,
2-s2.0-105018128460,"Sadeghi, S.","Department of Health in Emergencies and Disasters, Kurdistan University of Medical Sciences, Sanandaj, Kurdistan, Iran",Explaining barriers and challenges to child safety during driving from parents’ perspectives: a qualitative content analysis,2025,Iran,kurdistan university of medical sciences sanandaj kurdistan iran,iran,
2-s2.0-105018128460,"Heydari, A.","Trauma Research Center, Shahid Sadoughi University of Medical Sciences, Yazd, Yazd, Iran",Explaining barriers and challenges to child safety during driving from parents’ perspectives: a qualitative content analysis,2025,Iran,trauma research shahid sadoughi university of medical sciences yazd yazd iran,iran,
2-s2.0-105018125997,"Wu, K.","Department of Sociology, Celia Scott Weatherhead School of Public Health and Tropical Medicine, New Orleans, LA, United States",Factors influencing well-being among first-generation students of color pursuing graduate-level degrees in public health: A qualitative study,2025,United States,celia scott weatherhead new orleans la united states,united states,
2-s2.0-105018125997,"Lambert, W.M.","Department of Epidemiology, Celia Scott Weatherhead School of Public Health and Tropical Medicine, New Orleans, LA, United States",Factors influencing well-being among first-generation students of color pursuing graduate-level degrees in public health: A qualitative study,2025,United States,celia scott weatherhead new orleans la united states,united states,
2-s2.0-105017990648,"Al-amin, A.Q.","Harvard Center, Cambridge, MA, United States",Accelerating agricultural green development in ASEAN: The power of digital inclusive finance,2025,United States,harvard cambridge ma united states,united states,
2-s2.0-105017822858,"Gupta, S.","Canterbury Institute of Management, Sydney, NSW, Australia","Impact of entrepreneurial orientation, digital technology, social media, Artificial Intelligence and AI accounting tools on the quality of financial reporting among women artisans as entrepreneurs in the handicraft industry",2025,Australia,canterbury sydney nsw australia,australia,
2-s2.0-105017610163,"Singh, A.","Department of Management Studies, Indian Institute of Information Technology, Allahabad, Prayagraj, UP, India",Unveiling the attitudinal factors: an integration of TPB and SCT in understanding investor intention towards equity investments,2025,India,indian allahabad prayagraj up india,india,
2-s2.0-105017606769,"Janota, A.D.","Connection Health Birmingham, Birmingham, AL, United States","Development of a health-related social need screener for adults soon to be, and recently released, from incarceration",2025,United States,connection health birmingham birmingham al united states,united states,
2-s2.0-105017441709,"Garikapati, K.","School of Law, Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",Strategic decision-making model for addressing barriers in Sukanya Samriddhi Yojana inclusion: An ISM-MICMAC analytical framework,2025,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-105017441709,"Priyadarshini, S.","School of Economics and Commerce, Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",Strategic decision-making model for addressing barriers in Sukanya Samriddhi Yojana inclusion: An ISM-MICMAC analytical framework,2025,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-105017441709,"Dulla, N.","School of Liberal Studies, Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",Strategic decision-making model for addressing barriers in Sukanya Samriddhi Yojana inclusion: An ISM-MICMAC analytical framework,2025,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-105017441709,"Panda, S.","School of Tribal Resource Management, Kalinga Institute of Social Sciences, Bhubaneswar, OR, India",Strategic decision-making model for addressing barriers in Sukanya Samriddhi Yojana inclusion: An ISM-MICMAC analytical framework,2025,India,kalinga bhubaneswar or india,india,
2-s2.0-105017441709,"Mishra, S.","School of Management, Kalinga Institute of Industrial Technology, Bhubaneswar, Bhubaneswar, OR, India",Strategic decision-making model for addressing barriers in Sukanya Samriddhi Yojana inclusion: An ISM-MICMAC analytical framework,2025,India,kalinga bhubaneswar bhubaneswar or india,india,
2-s2.0-105017028985,"Gudeta, Z.G.","Policy Studies Institute, Addis Ababa, Ethiopia",The role of social norms in shaping trust and economic behavior in the Ethiopian financial institutions,2025,Ethiopia,policy studies addis ababa ethiopia,ethiopia,
2-s2.0-105017028985,"Teshome, G.","College of Health and Medicine, Haramaya University, Dire Dawa, Ethiopia",The role of social norms in shaping trust and economic behavior in the Ethiopian financial institutions,2025,Ethiopia,college of health and medicine haramaya university dire dawa ethiopia,ethiopia,
2-s2.0-105016123806,"Fong, J.H.","Lee Kuan Yew School of Public Policy, Singapore City, Singapore",Who supports carbon pricing? Older adults’ financial literacy and attitudes toward carbon taxation,2025,Singapore,lee kuan yew singapore city singapore,singapore,
2-s2.0-105015505290,"Guo, J.","Chongqing University, Chongqing, China",The digital divide and household risky financial investments in China,2025,China,chongqing university chongqing china,china,
2-s2.0-105015488505,"Li, X.","Department of Applied Social Sciences, The Hong Kong Polytechnic University, Hong Kong, Hong Kong, Hong Kong","Finance and ambition: parental financial socialization, money scripts, and future orientations among Hong Kong youths in low-SES households",2025,Hong Kong,the hong kong polytechnic university hong kong hong kong hong kong,hong kong,
2-s2.0-105015470307,"Yang, H.","College of Business, Xi'an International University, Xi'an, Shaanxi, China","Household financial environment, financial literacy and fraud risk",2025,China,college of business xi'an international university xi'an shaanxi china,china,
2-s2.0-105015470307,"Li, X.","Risk management department, China Construction Bank, Beijing, China","Household financial environment, financial literacy and fraud risk",2025,China,risk management china construction bank beijing china,china,
2-s2.0-105015094413,"Jalili, R.","Department of Health Policy and Management, Tabriz Health Services Management Research Center, Tabriz, East Azerbaijan, Iran","Health financial resilience in individuals and households: a scoping review of components, strategies and outcomes",2025,Iran,tabriz health services management research tabriz east azerbaijan iran,iran,
2-s2.0-105015094413,"Gilani, N.","Department of Statistics and Epidemiology, Faculty of Health, Tabriz, East Azerbaijan, Iran","Health financial resilience in individuals and households: a scoping review of components, strategies and outcomes",2025,Iran,tabriz east azerbaijan iran,iran,
2-s2.0-105015094413,"Najafi, B.","Department of Health Economics, School of Management and Medical Informatics, Tabriz, East Azerbaijan, Iran","Health financial resilience in individuals and households: a scoping review of components, strategies and outcomes",2025,Iran,tabriz east azerbaijan iran,iran,
2-s2.0-105015094413,"Doshmangir, L.","Social Determinants of Health Research Center, Tabriz, East Azerbaijan, Iran","Health financial resilience in individuals and households: a scoping review of components, strategies and outcomes",2025,Iran,social determinants of health research tabriz east azerbaijan iran,iran,
2-s2.0-105014872440,"Daniel, F.M.","First On-Call Initiative, Community and Clinical Research Division, Kharkiv Oblast, Ukraine","Prevalence, patterns, correlates, and academic implications of sports betting and problem gambling among Nigerian undergraduates",2025,Ukraine,first on call initiative comm kharkiv oblast ukraine,ukraine,
2-s2.0-105014872440,"Ukoaka, B.M.","Research and Training Unit, Federal Neuropsychiatric Hospital, Calabar, CRS, Nigeria","Prevalence, patterns, correlates, and academic implications of sports betting and problem gambling among Nigerian undergraduates",2025,Nigeria,research and training federal neuropsychiatric hospital ca crs nigeria,nigeria,
