2026-02-05 18:47:12,784 - INFO - Loading CSV from output_with_qs_match.csv
2026-02-05 18:47:12,841 - INFO - Processing 19706 authors starting from row 0
2026-02-05 18:47:17,090 - ERROR - Error searching for title 'Between vulnerable and sustainable: an assessment on livelihood of fishermen in Bintan Island, Indonesia': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ABetween+vulnerable+and+sustainable%3A+an+assessment+on+livelihood+of+fishermen+in+Bintan+Island%2C+Indonesia&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:17,090 - INFO - Row 16/19706: Searching for Apostolou, M.
2026-02-05 18:47:17,323 - INFO - Row 17/19706: Searching for Zalaf, A.
2026-02-05 18:47:17,543 - INFO - Row 18/19706: Searching for Nadir, M.
2026-02-05 18:47:17,763 - INFO - Row 19/19706: Searching for Alam, S.
2026-02-05 18:47:17,992 - INFO - Row 20/19706: Searching for Wilson, C.J.
2026-02-05 18:47:18,289 - INFO - Row 21/19706: Searching for Sumanth, S.
2026-02-05 18:47:18,529 - INFO - Row 22/19706: Searching for Colaco, R.M.
2026-02-05 18:47:18,778 - INFO - Row 23/19706: Searching for Aswani, D.
2026-02-05 18:47:18,995 - INFO - Row 24/19706: Searching for Devi, V.S.
2026-02-05 18:47:19,247 - INFO - Row 25/19706: Searching for Menon, A.
2026-02-05 18:47:19,496 - INFO - Row 26/19706: Searching for Sivan, A.
2026-02-05 18:47:20,153 - INFO - Row 27/19706: Searching for Navya, S.
2026-02-05 18:47:20,640 - INFO - Row 28/19706: Searching for Samyuktha, D.
2026-02-05 18:47:20,872 - INFO - Row 29/19706: Searching for Joseph, J.
2026-02-05 18:47:21,108 - INFO - Row 30/19706: Searching for George, J.
2026-02-05 18:47:21,468 - INFO - Row 31/19706: Searching for Sarria, G.R.
2026-02-05 18:47:21,719 - INFO - Row 32/19706: Searching for Torales, S.
2026-02-05 18:47:21,949 - INFO - Row 33/19706: Searching for Rossi, F.
2026-02-05 18:47:22,174 - INFO - Row 34/19706: Searching for Ricagni, L.
2026-02-05 18:47:22,419 - INFO - Row 35/19706: Searching for Baldeon, D.
2026-02-05 18:47:22,919 - INFO - Row 36/19706: Searching for Felix, A.
2026-02-05 18:47:23,189 - INFO - Row 37/19706: Searching for Li, B.
2026-02-05 18:47:23,429 - INFO - Row 38/19706: Searching for Gkika, E.
2026-02-05 18:47:23,840 - INFO - Row 39/19706: Searching for Ferraris, G.
2026-02-05 18:47:24,292 - INFO - Row 40/19706: Searching for Sarria, G.J.
2026-02-05 18:47:24,549 - INFO - Row 41/19706: Searching for Kumar, V.
2026-02-05 18:47:24,806 - INFO - Row 42/19706: Searching for Kumar, S.
2026-02-05 18:47:25,037 - INFO - Row 43/19706: Searching for Malik, S.
2026-02-05 18:47:25,299 - INFO - Row 44/19706: Searching for Doli, D.
2026-02-05 18:47:25,530 - INFO - Row 45/19706: Searching for Canhasi, D.
2026-02-05 18:47:25,777 - INFO - Row 46/19706: Searching for Guo, L.
2026-02-05 18:47:26,296 - INFO - Row 47/19706: Searching for Longo, L.
2026-02-05 18:47:26,553 - INFO - Row 48/19706: Searching for Förster, M.
2026-02-05 18:47:26,802 - INFO - Row 49/19706: Searching for Hommel, M.
2026-02-05 18:47:27,027 - INFO - Row 50/19706: Searching for Aprea, C.
2026-02-05 18:47:27,280 - INFO - Row 51/19706: Searching for Fürstenau, B.
2026-02-05 18:47:27,832 - INFO - Row 52/19706: Searching for Happ, R.
2026-02-05 18:47:28,082 - INFO - Row 53/19706: Searching for Wuttke, E.
2026-02-05 18:47:28,325 - INFO - Row 54/19706: Searching for Anwar, M.
2026-02-05 18:47:28,757 - INFO - Row 55/19706: Searching for Hani, I.B.
2026-02-05 18:47:29,062 - INFO - Row 56/19706: Searching for Hujran, O.
2026-02-05 18:47:29,369 - INFO - Row 57/19706: Searching for Benlemlih, B.
2026-02-05 18:47:29,603 - INFO - Row 58/19706: Searching for Halder, S.
2026-02-05 18:47:29,837 - INFO - Row 59/19706: Searching for Deshmukh, R.
2026-02-05 18:47:30,072 - INFO - Row 60/19706: Searching for Issa, M.
2026-02-05 18:47:30,312 - INFO - Row 61/19706: Searching for Omar, F.
2026-02-05 18:47:30,555 - INFO - Row 62/19706: Searching for Gupta, J.
2026-02-05 18:47:30,896 - INFO - Row 63/19706: Searching for Guillén-Pujadas, M.
2026-02-05 18:47:31,139 - INFO - Row 64/19706: Searching for Alaminos, D.
2026-02-05 18:47:31,543 - INFO - Row 65/19706: Searching for Carrasco-Aguilar, Á.
2026-02-05 18:47:31,829 - INFO - Row 66/19706: Searching for Dinh, D.H.
2026-02-05 18:47:32,136 - INFO - Row 67/19706: Searching for Styazhkov, A.
2026-02-05 18:47:32,401 - INFO - Row 68/19706: Searching for Ametsbichler, T.
2026-02-05 18:47:32,640 - INFO - Row 69/19706: Searching for Hommel, M.
2026-02-05 18:47:32,871 - INFO - Row 70/19706: Searching for Wuttke, E.
2026-02-05 18:47:33,125 - INFO - Row 71/19706: Searching for Happ, R.
2026-02-05 18:47:33,361 - INFO - Row 72/19706: Searching for Heidel, S.
2026-02-05 18:47:33,618 - INFO - Row 73/19706: Searching for Aprea, C.
2026-02-05 18:47:33,979 - INFO - Row 74/19706: Searching for Vonhof, C.
2026-02-05 18:47:34,251 - INFO - Row 75/19706: Searching for Ackermann, N.
2026-02-05 18:47:34,511 - INFO - Row 76/19706: Searching for Fürstenau, B.
2026-02-05 18:47:34,744 - INFO - Row 77/19706: Searching for Pria, S.
2026-02-05 18:47:34,978 - INFO - Row 78/19706: Searching for Förster, M.
2026-02-05 18:47:35,187 - ERROR - Error searching for title 'The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+AFin+Network%3A+Advancing+Financial+Literacy+Through+Systematisation%2C+Modelling+and+Assessment%E2%80%94Introduction+to+the+SpringerBrief&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:35,188 - INFO - Row 79/19706: Searching for Hommel, M.
2026-02-05 18:47:35,391 - ERROR - Error searching for title 'The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+AFin+Network%3A+Advancing+Financial+Literacy+Through+Systematisation%2C+Modelling+and+Assessment%E2%80%94Introduction+to+the+SpringerBrief&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:35,392 - INFO - Row 80/19706: Searching for Aprea, C.
2026-02-05 18:47:35,600 - ERROR - Error searching for title 'The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+AFin+Network%3A+Advancing+Financial+Literacy+Through+Systematisation%2C+Modelling+and+Assessment%E2%80%94Introduction+to+the+SpringerBrief&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:35,601 - INFO - Row 81/19706: Searching for Fürstenau, B.
2026-02-05 18:47:35,838 - ERROR - Error searching for title 'The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+AFin+Network%3A+Advancing+Financial+Literacy+Through+Systematisation%2C+Modelling+and+Assessment%E2%80%94Introduction+to+the+SpringerBrief&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:35,839 - INFO - Row 82/19706: Searching for Happ, R.
2026-02-05 18:47:36,035 - ERROR - Error searching for title 'The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+AFin+Network%3A+Advancing+Financial+Literacy+Through+Systematisation%2C+Modelling+and+Assessment%E2%80%94Introduction+to+the+SpringerBrief&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:36,036 - INFO - Row 83/19706: Searching for Wuttke, E.
2026-02-05 18:47:36,235 - ERROR - Error searching for title 'The AFin Network: Advancing Financial Literacy Through Systematisation, Modelling and Assessment—Introduction to the SpringerBrief': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+AFin+Network%3A+Advancing+Financial+Literacy+Through+Systematisation%2C+Modelling+and+Assessment%E2%80%94Introduction+to+the+SpringerBrief&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:36,236 - INFO - Row 84/19706: Searching for Walstad, W.B.
2026-02-05 18:47:36,476 - INFO - Row 85/19706: Searching for Kraitzek, A.
2026-02-05 18:47:36,701 - INFO - Row 86/19706: Searching for Di Chiacchio, C.
2026-02-05 18:47:36,925 - INFO - Row 87/19706: Searching for Liao, H.
2026-02-05 18:47:37,144 - INFO - Row 88/19706: Searching for Candrawati, T.
2026-02-05 18:47:37,352 - ERROR - Error searching for title 'The influence of perceived usefulness, perceived ease of use, compatibility and subjective norm on the use of e-money; La influencia de la utilidad percibida, la facilidad de uso percibida, la compatibilidad y la norma subjetiva en el uso del dinero electrónico': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AThe+influence+of+perceived+usefulness%2C+perceived+ease+of+use%2C+compatibility+and+subjective+norm+on+the+use+of+e-money%3B+La+influencia+de+la+utilidad+percibida%2C+la+facilidad+de+uso+percibida%2C+la+compatibilidad+y+la+norma+subjetiva+en+el+uso+del+dinero+electr%C3%B3nico&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:37,353 - INFO - Row 89/19706: Searching for Fürstenau, B.
2026-02-05 18:47:37,584 - INFO - Row 90/19706: Searching for Appiah-Kubi, J.
2026-02-05 18:47:37,809 - INFO - Row 91/19706: Searching for Amoako, E.O.
2026-02-05 18:47:38,033 - INFO - Row 92/19706: Searching for Achulo, S.H.
2026-02-05 18:47:38,268 - INFO - Row 93/19706: Searching for Small, E.
2026-02-05 18:47:38,508 - INFO - Row 94/19706: Searching for Sharma, B.
2026-02-05 18:47:38,749 - INFO - Row 95/19706: Searching for Ansong, E.
2026-02-05 18:47:39,030 - INFO - Row 96/19706: Searching for Wabwire, J.C.
2026-02-05 18:47:39,258 - INFO - Row 97/19706: Searching for Balakina, O.
2026-02-05 18:47:39,814 - INFO - Row 98/19706: Searching for Balasubramaniam, V.
2026-02-05 18:47:40,068 - INFO - Row 99/19706: Searching for Dimri, A.
2026-02-05 18:47:40,299 - INFO - Row 100/19706: Searching for Wang, L.
2026-02-05 18:47:40,638 - INFO - Checkpoint: Saved progress at row 100
2026-02-05 18:47:40,638 - INFO - Row 101/19706: Searching for Manansala, L.D.
2026-02-05 18:47:40,897 - INFO - Row 102/19706: Searching for Chirimumimba, K.
2026-02-05 18:47:41,134 - INFO - Row 103/19706: Searching for Nosakhare, M.E.
2026-02-05 18:47:41,656 - INFO - Row 104/19706: Searching for Nguyen, H.D.
2026-02-05 18:47:41,916 - INFO - Row 105/19706: Searching for Vu, S.
2026-02-05 18:47:42,164 - INFO - Row 106/19706: Searching for Pham, U.
2026-02-05 18:47:42,578 - INFO - Row 107/19706: Searching for Nguyen, D.
2026-02-05 18:47:42,840 - INFO - Row 108/19706: Searching for Savithri, M.
2026-02-05 18:47:43,080 - INFO - Row 109/19706: Searching for Rajakumari, D.
2026-02-05 18:47:43,313 - INFO - Row 110/19706: Searching for Shaikh, A.
2026-02-05 18:47:43,558 - INFO - Row 111/19706: Searching for Achanta, R.P.
2026-02-05 18:47:43,803 - ERROR - Error searching for title 'Digital financial knowledge, insights from private-sector employees in Sikkim': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ADigital+financial+knowledge%2C+insights+from+private-sector+employees+in+Sikkim&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:43,803 - INFO - Row 112/19706: Searching for Cordero, J.M.
2026-02-05 18:47:44,113 - INFO - Row 113/19706: Searching for Mateos-Romero, L.
2026-02-05 18:47:44,373 - INFO - Row 114/19706: Searching for Saha, S.
2026-02-05 18:47:44,630 - INFO - Row 115/19706: Searching for Alam, M.J.
2026-02-05 18:47:44,916 - INFO - Row 116/19706: Searching for Al Abbasi, A.A.
2026-02-05 18:47:45,155 - INFO - Row 117/19706: Searching for Begum, I.A.
2026-02-05 18:47:45,394 - INFO - Row 118/19706: Searching for Rola-Rubzen, M.F.
2026-02-05 18:47:45,648 - INFO - Row 119/19706: Searching for Parikh, P.
2026-02-05 18:47:45,920 - INFO - Row 120/19706: Searching for Becha, H.
2026-02-05 18:47:46,127 - ERROR - Error searching for title 'Digital financial inclusion, environmental sustainability and regional economic growth in China: insights from a panel threshold model': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ADigital+financial+inclusion%2C+environmental+sustainability+and+regional+economic+growth+in+China%3A+insights+from+a+panel+threshold+model&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:46,127 - INFO - Row 121/19706: Searching for Kalai, M.
2026-02-05 18:47:46,334 - ERROR - Error searching for title 'Digital financial inclusion, environmental sustainability and regional economic growth in China: insights from a panel threshold model': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ADigital+financial+inclusion%2C+environmental+sustainability+and+regional+economic+growth+in+China%3A+insights+from+a+panel+threshold+model&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:46,334 - INFO - Row 122/19706: Searching for Song, X.
2026-02-05 18:47:46,537 - ERROR - Error searching for title 'Financial inclusion, technologies, and worldwide economic development: A spatial Durbin model approach': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AFinancial+inclusion%2C+technologies%2C+and+worldwide+economic+development%3A+A+spatial+Durbin+model+approach&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:46,537 - INFO - Row 123/19706: Searching for Qin, X.
2026-02-05 18:47:46,758 - ERROR - Error searching for title 'Financial inclusion, technologies, and worldwide economic development: A spatial Durbin model approach': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AFinancial+inclusion%2C+technologies%2C+and+worldwide+economic+development%3A+A+spatial+Durbin+model+approach&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:46,759 - INFO - Row 124/19706: Searching for Redmond, J.
2026-02-05 18:47:46,996 - INFO - Row 125/19706: Searching for Radianto, W.E.D.
2026-02-05 18:47:47,249 - INFO - Row 126/19706: Searching for Purwanugraha, H.A.
2026-02-05 18:47:47,546 - INFO - Row 127/19706: Searching for Kristanto, H.
2026-02-05 18:47:48,110 - INFO - Row 128/19706: Searching for Efrata, T.C.
2026-02-05 18:47:48,725 - INFO - Row 129/19706: Searching for Martinez-Blasco, M.
2026-02-05 18:47:48,986 - INFO - Row 130/19706: Searching for Paraboni, A.L.
2026-02-05 18:47:49,952 - INFO - Row 131/19706: Searching for Potrich, A.C.G.
2026-02-05 18:47:50,207 - INFO - Row 132/19706: Searching for Adekunle, I.A.
2026-02-05 18:47:50,404 - ERROR - Error searching for title 'Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AKnowledge%2C+attitude+or+risk%3F+What+drives+the+financial+literacy+gaps+of+university+staff%3F&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:50,406 - INFO - Row 133/19706: Searching for Williams, T.O.
2026-02-05 18:47:50,609 - ERROR - Error searching for title 'Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AKnowledge%2C+attitude+or+risk%3F+What+drives+the+financial+literacy+gaps+of+university+staff%3F&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:50,610 - INFO - Row 134/19706: Searching for Maialeh, R.
2026-02-05 18:47:50,795 - ERROR - Error searching for title 'Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AKnowledge%2C+attitude+or+risk%3F+What+drives+the+financial+literacy+gaps+of+university+staff%3F&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:50,796 - INFO - Row 135/19706: Searching for Adegbenro, M.A.
2026-02-05 18:47:50,998 - ERROR - Error searching for title 'Knowledge, attitude or risk? What drives the financial literacy gaps of university staff?': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AKnowledge%2C+attitude+or+risk%3F+What+drives+the+financial+literacy+gaps+of+university+staff%3F&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:50,999 - INFO - Row 136/19706: Searching for Agasisti, T.
2026-02-05 18:47:51,232 - INFO - Row 137/19706: Searching for D'Ignazio, A.
2026-02-05 18:47:51,470 - INFO - Row 138/19706: Searching for Iannotta, G.
2026-02-05 18:47:51,727 - INFO - Row 139/19706: Searching for Yurtkur, A.K.
2026-02-05 18:47:51,977 - INFO - Row 140/19706: Searching for Kilic, Y.
2026-02-05 18:47:52,202 - INFO - Row 141/19706: Searching for Bugan, M.F.
2026-02-05 18:47:52,431 - INFO - Row 142/19706: Searching for Dibooǧlu, S.
2026-02-05 18:47:52,694 - INFO - Row 143/19706: Searching for Çevik, E.I.
2026-02-05 18:47:52,924 - INFO - Row 144/19706: Searching for Potts, N.
2026-02-05 18:47:53,121 - ERROR - Error searching for title 'Domain-Specific Predictors of Financial Risk Taking: Revisiting the Role of Knowledge, Experience, and Financial Risk Tolerance': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ADomain-Specific+Predictors+of+Financial+Risk+Taking%3A+Revisiting+the+Role+of+Knowledge%2C+Experience%2C+and+Financial+Risk+Tolerance&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:53,122 - INFO - Row 145/19706: Searching for Grable, J.
2026-02-05 18:47:53,330 - ERROR - Error searching for title 'Domain-Specific Predictors of Financial Risk Taking: Revisiting the Role of Knowledge, Experience, and Financial Risk Tolerance': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ADomain-Specific+Predictors+of+Financial+Risk+Taking%3A+Revisiting+the+Role+of+Knowledge%2C+Experience%2C+and+Financial+Risk+Tolerance&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:53,331 - INFO - Row 146/19706: Searching for Murphy, R.O.
2026-02-05 18:47:53,536 - ERROR - Error searching for title 'Domain-Specific Predictors of Financial Risk Taking: Revisiting the Role of Knowledge, Experience, and Financial Risk Tolerance': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3ADomain-Specific+Predictors+of+Financial+Risk+Taking%3A+Revisiting+the+Role+of+Knowledge%2C+Experience%2C+and+Financial+Risk+Tolerance&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:53,537 - INFO - Row 147/19706: Searching for Fu, J.
2026-02-05 18:47:53,752 - ERROR - Error searching for title 'Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AShadow+economy%2C+financial+inclusion+and+economic+growth+Nexus%3A+evidence+from+developing+countries&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:53,752 - INFO - Row 148/19706: Searching for Ahmad, W.
2026-02-05 18:47:53,960 - ERROR - Error searching for title 'Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AShadow+economy%2C+financial+inclusion+and+economic+growth+Nexus%3A+evidence+from+developing+countries&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:53,961 - INFO - Row 149/19706: Searching for Hussain, B.
2026-02-05 18:47:54,200 - ERROR - Error searching for title 'Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AShadow+economy%2C+financial+inclusion+and+economic+growth+Nexus%3A+evidence+from+developing+countries&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:54,201 - INFO - Row 150/19706: Searching for Khalid, M.W.
2026-02-05 18:47:54,395 - ERROR - Error searching for title 'Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AShadow+economy%2C+financial+inclusion+and+economic+growth+Nexus%3A+evidence+from+developing+countries&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:54,395 - INFO - Row 151/19706: Searching for Lambarraa-Lehnhardt, F.
2026-02-05 18:47:54,595 - ERROR - Error searching for title 'Shadow economy, financial inclusion and economic growth Nexus: evidence from developing countries': 400 Client Error: Bad Request for url: https://api.openalex.org/works?api_key=0gNGJzrC3W8SseitbXSQ5n&filter=title.search%3AShadow+economy%2C+financial+inclusion+and+economic+growth+Nexus%3A+evidence+from+developing+countries&per_page=5&select=id%2Ctitle%2Cauthorships
2026-02-05 18:47:54,597 - INFO - Row 152/19706: Searching for Khiatani, P.V.
2026-02-05 18:47:54,838 - INFO - Row 153/19706: Searching for Gupta, J.
2026-02-05 18:47:55,163 - INFO - Row 154/19706: Searching for Wang, X.
2026-02-05 18:47:55,396 - INFO - Row 155/19706: Searching for Wang, C.
